data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
300.00, CMB_to_KBJ_001_1, 8.20, 8.20, 58.00
300.00, CMB_to_KBJ_001_2, 6.30, 6.30, 31.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.16, 0.00
300.00, MRT_to_KB_001.37_2, 16.25, 16.25, 52.00
300.00, MRT_to_KB_001.37_3, 14.06, 14.06, 43.00
300.00, MRT_to_KB_001.37_4, 23.35, 23.35, 39.00
300.00, P_to_KBJ_2, 21.12, 21.12, 122.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
600.00, MRT_to_KB_001.37_5, 8.20, 8.20, 118.00
600.00, P_to_KBJ_1, 9.75, 9.75, 115.00
600.00, P_to_KBJ_2, 3.55, 3.55, 77.00
900.00, CMB_to_KBJ_001_1, 15.60, 15.60, 59.00
900.00, CMB_to_KBJ_001_2, 10.40, 10.40, 95.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
900.00, MRT_to_KB_001.37_2, 25.01, 25.01, 73.00
900.00, MRT_to_KB_001.37_3, 26.86, 26.86, 68.00
900.00, MRT_to_KB_001.37_4, 26.01, 26.01, 55.00
900.00, MRT_to_KB_001.37_5, 5.20, 5.20, 6.00
900.00, P_to_KBJ_1, 0.00, 5.21, 0.00
1200.00, CMB_to_KBJ_001_1, 3.55, 3.55, 9.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1200.00, MRT_to_KB_001.37_4, 5.21, 5.21, 56.00
1200.00, MRT_to_KB_001.37_5, 5.20, 5.20, 71.00
1200.00, P_to_KBJ_1, 17.10, 17.10, 77.00
1200.00, P_to_KBJ_2, 6.90, 6.90, 47.00
1500.00, CMB_to_KBJ_001_1, 20.80, 20.80, 146.00
1500.00, CMB_to_KBJ_001_2, 14.85, 14.85, 88.00
1500.00, CMB_to_KBJ_001_3, 5.20, 5.20, 70.00
1500.00, CMB_to_KBJ_001_4, 3.60, 3.60, 68.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_2, 28.61, 28.61, 74.00
1500.00, MRT_to_KB_001.37_3, 27.41, 27.41, 64.00
1500.00, MRT_to_KB_001.37_4, 27.16, 30.55, 57.00
1500.00, P_to_KBJ_1, 3.00, 3.00, 11.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1800.00, MRT_to_KB_001.37_5, 19.70, 19.70, 117.00
1800.00, P_to_KBJ_1, 13.20, 13.20, 84.00
1800.00, P_to_KBJ_2, 27.76, 32.98, 78.00
2100.00, CMB_to_KBJ_001_1, 16.75, 16.75, 88.00
2100.00, CMB_to_KBJ_001_2, 5.50, 6.91, 65.00
2100.00, CMB_to_KBJ_001_3, 5.20, 5.20, 65.00
2100.00, CMB_to_KBJ_001_4, 5.20, 5.20, 14.00
