data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, CMB_to_KBJ_001_1, 10.90, 10.90, 14.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
300.00, MRT_to_KB_001.37_5, 8.70, 8.70, 102.00
300.00, P_to_KBJ_1, 5.20, 5.20, 47.00
300.00, P_to_KBJ_2, 19.10, 19.10, 40.00
600.00, CMB_to_KBJ_001_2, 6.35, 6.35, 32.00
600.00, CMB_to_KBJ_001_3, 5.20, 5.20, 25.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, P_to_KBJ_2, 11.75, 11.75, 104.00
900.00, :J1_0_2, 2.74, 2.74, 1.00
900.00, CMB_to_KBJ_001_1, 5.50, 5.50, 75.00
900.00, CMB_to_KBJ_001_2, 20.55, 20.55, 102.00
900.00, CMB_to_KBJ_001_3, 8.70, 8.70, 94.00
900.00, CMB_to_KBJ_001_4, 3.00, 3.00, 43.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 39.11, 32.81, 64.00
900.00, MRT_to_KB_001.37_3, 42.71, 31.31, 61.00
900.00, MRT_to_KB_001.37_4, 38.51, 32.81, 50.00
900.00, P_to_KBJ_1, 5.21, 5.21, 2.00
1200.00, :J1_0_1, 19.25, 16.74, 47.00
1200.00, :J1_0_2, 20.54, 14.84, 68.00
1200.00, CMB_to_KBJ_001_2, 0.00, 11.96, 0.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.97, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001_3, 10.82, 10.82, 9.00
1200.00, MRT_to_KB_001.37_2, 44.71, 31.26, 81.00
1200.00, MRT_to_KB_001.37_3, 42.81, 30.95, 81.00
1200.00, MRT_to_KB_001.37_4, 42.11, 29.68, 84.00
1200.00, MRT_to_KB_001.37_5, 5.20, 5.20, 59.00
1200.00, P_to_KBJ_1, 10.90, 10.90, 46.00
1500.00, KBJ_to_CMB_002_1, 0.00, 33.29, 0.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_5, 11.05, 11.05, 129.00
1500.00, P_to_KBJ_1, 9.25, 9.25, 100.00
1500.00, P_to_KBJ_2, 14.10, 14.10, 45.00
1800.00, CMB_to_KBJ_001_1, 11.05, 11.05, 74.00
1800.00, CMB_to_KBJ_001_2, 15.35, 15.35, 40.00
1800.00, CMB_to_KBJ_001_3, 3.55, 3.55, 18.00
1800.00, CMB_to_KBJ_001_4, 5.20, 5.20, 10.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1800.00, MRT_to_KB_001.37_2, 3.00, 3.00, 12.00
1800.00, MRT_to_KB_001.37_3, 3.55, 6.20, 10.00
1800.00, MRT_to_KB_001.37_4, 3.00, 6.36, 10.00
1800.00, P_to_KBJ_2, 56.01, 56.01, 106.00
2100.00, :J1_0_2, 6.85, 12.42, 2.00
2100.00, :J37_0_0, 9.11, 9.11, 45.00
2100.00, CMB_to_KBJ_001_1, 31.36, 25.66, 152.00
2100.00, CMB_to_KBJ_001_2, 25.00, 25.00, 101.00
2100.00, CMB_to_KBJ_001_3, 11.30, 11.30, 86.00
2100.00, CMB_to_KBJ_001_4, 5.20, 5.20, 57.00
2100.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
2100.00, MRT_to_KB_001.37_2, 40.91, 35.06, 73.00
2100.00, MRT_to_KB_001.37_3, 43.61, 32.51, 70.00
2100.00, MRT_to_KB_001.37_4, 41.56, 35.86, 65.00
2100.00, P_to_KBJ_2, 79.27, 79.27, 56.00
2400.00, :J1_0_1, 24.30, 12.89, 27.00
2400.00, :J1_0_2, 21.10, 18.59, 24.00
2400.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
2400.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
2400.00, MRT_to_KB_001_3, 9.49, 9.49, 1.00
2400.00, MRT_to_KB_001.37_2, 0.00, 29.92, 0.00
2400.00, MRT_to_KB_001.37_5, 16.30, 16.30, 60.00
2400.00, P_to_KBJ_1, 3.00, 3.00, 50.00
2400.00, P_to_KBJ_2, 5.20, 5.20, 6.00
2700.00, CMB_to_KBJ_001_1, 5.50, 5.50, 13.00
2700.00, KBJ_to_CMB_002_1, 0.00, 33.25, 0.00
2700.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
2700.00, MRT_to_KB_001.37_5, 17.06, 17.06, 126.00
2700.00, P_to_KBJ_2, 9.71, 13.42, 38.00
3000.00, CMB_to_KBJ_001_1, 24.96, 22.46, 101.00
3000.00, CMB_to_KBJ_001_2, 6.30, 6.30, 43.00
3000.00, CMB_to_KBJ_001_3, 7.25, 7.25, 38.00
3000.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
3000.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
3000.00, MRT_to_KB_001.37_2, 14.50, 14.50, 15.00
3000.00, MRT_to_KB_001.37_3, 20.66, 20.66, 16.00
3000.00, MRT_to_KB_001.37_4, 21.71, 27.63, 18.00
3000.00, P_to_KBJ_2, 73.47, 73.47, 126.00
3300.00, :J1_0_1, 2.24, 2.24, 9.00
3300.00, :J1_0_2, 12.19, 12.19, 15.00
3300.00, :J37_0_1, 7.31, 7.31, 2.00
3300.00, CMB_to_KBJ_001_1, 28.31, 22.61, 163.00
3300.00, CMB_to_KBJ_001_2, 27.51, 25.01, 107.00
3300.00, CMB_to_KBJ_001_3, 13.40, 13.40, 106.00
3300.00, CMB_to_KBJ_001_4, 10.90, 10.90, 81.00
3300.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
3300.00, MRT_to_KB_001.37_2, 42.21, 28.16, 71.00
3300.00, MRT_to_KB_001.37_3, 42.06, 30.66, 77.00
3300.00, MRT_to_KB_001.37_4, 43.06, 34.01, 71.00
3300.00, MRT_to_KB_001.37_5, 8.55, 8.55, 10.00
3300.00, P_to_KBJ_1, 3.55, 3.55, 15.00
3300.00, P_to_KBJ_2, 113.77, 99.02, 35.00
3600.00, :J1_0_1, 0.00, 20.23, 0.00
3600.00, :J1_0_2, 24.50, 15.41, 69.00
3600.00, :J1_0_4, 17.30, 17.30, 40.00
3600.00, :KB_to_MRT_001_0_1, 7.51, 7.51, 10.00
3600.00, :KB_to_MRT_001_0_2, 6.16, 8.73, 22.00
3600.00, KBJ_to_CMB_001_1, 0.00, 24.98, 0.00
3600.00, KBJ_to_P_2, 127.47, 0.00, 1.00
3600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
3600.00, MRT_to_KB_001_2, 29.47, 20.42, 40.00
3600.00, MRT_to_KB_001_3, 28.12, 20.37, 49.00
3600.00, MRT_to_KB_001.37_5, 3.00, 3.55, 63.00
3600.00, P_to_KBJ_1, 31.66, 31.66, 68.00
3600.00, P_to_KBJ_2, 30.76, 36.59, 15.00
3900.00, CMB_to_KBJ_001_1, 7.70, 10.24, 34.00
3900.00, KBJ_to_CMB_002_1, 38.96, 44.67, 4.00
3900.00, MRT_to_KB_001.37_1, 0.00, 15.17, 0.00
3900.00, MRT_to_KB_001.37_5, 30.51, 30.51, 136.00
3900.00, P_to_KBJ_1, 42.91, 42.91, 120.00
3900.00, P_to_KBJ_2, 69.36, 69.36, 77.00
4200.00, CMB_to_KBJ_001_1, 9.65, 9.65, 69.00
4200.00, CMB_to_KBJ_001_2, 14.75, 14.75, 56.00
4200.00, CMB_to_KBJ_001_3, 23.20, 23.20, 52.00
4200.00, CMB_to_KBJ_001_4, 15.45, 15.45, 44.00
4200.00, KBJ_to_CMB_001_1, 0.00, 24.97, 0.00
4200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
4200.00, MRT_to_KB_001.37_2, 14.40, 14.40, 25.00
4200.00, MRT_to_KB_001.37_3, 12.05, 12.05, 22.00
4200.00, MRT_to_KB_001.37_4, 14.57, 14.57, 18.00
4200.00, P_to_KBJ_2, 126.83, 101.42, 138.00
4500.00, :J1_0_1, 8.34, 8.34, 23.00
4500.00, :J1_0_2, 19.74, 19.74, 35.00
4500.00, :J37_0_0, 6.21, 6.21, 48.00
4500.00, :J37_0_1, 9.86, 9.86, 21.00
4500.00, CMB_to_KBJ_001_1, 28.46, 20.26, 134.00
4500.00, CMB_to_KBJ_001_2, 31.96, 20.56, 114.00
4500.00, CMB_to_KBJ_001_3, 29.50, 23.20, 99.00
4500.00, CMB_to_KBJ_001_4, 16.06, 16.06, 89.00
4500.00, MRT_to_KB_001_3, 4.32, 4.32, 10.00
4500.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
4500.00, MRT_to_KB_001.37_2, 42.46, 32.51, 82.00
4500.00, MRT_to_KB_001.37_3, 42.61, 36.76, 83.00
4500.00, MRT_to_KB_001.37_4, 41.16, 32.81, 84.00
4500.00, MRT_to_KB_001.37_5, 3.00, 3.00, 2.00
4500.00, P_to_KBJ_1, 5.20, 5.20, 15.00
4500.00, P_to_KBJ_2, 130.04, 101.44, 11.00
